Result of k-means clustering...
Object [434] = 1;
Object [435] = 1;
Object [436] = 0;
Object [437] = 0;
Object [438] = 1;
Object [439] = 1;
Object [440] = 0;
Object [441] = 1;
Object [442] = 1;
Object [443] = 0;
Object [444] = 0;
Object [445] = 0;
Object [446] = 0;
Object [447] = 0;
Object [448] = 1;
Object [449] = 1;
Object [450] = 0;
Object [451] = 0;
Object [452] = 1;
Object [453] = 1;
Object [454] = 1;
Object [455] = 0;
Object [456] = 0;
Object [457] = 0;
Object [458] = 0;
Object [459] = 0;
Object [460] = 0;
Object [461] = 0;
Object [462] = 1;
Object [463] = 0;
Object [464] = 0;
Object [465] = 1;
Object [466] = 0;
Object [467] = 0;
Object [468] = 0;
Object [469] = 0;
Object [470] = 0;
Object [471] = 0;
Object [472] = 1;
Object [473] = 0;
Object [474] = 1;
Object [475] = 0;
Object [476] = 0;
Object [477] = 0;
Object [478] = 0;
Object [479] = 0;
Object [480] = 1;
Object [481] = 0;
Object [482] = 0;
Object [483] = 1;
Object [484] = 1;
Object [485] = 1;
Object [486] = 1;
Object [487] = 1;
Object [488] = 1;
Object [489] = 1;
Object [490] = 1;
Object [491] = 1;
Object [492] = 1;
Object [493] = 0;
Object [494] = 0;
Object [495] = 0;
Object [496] = 0;
Object [497] = 1;
Object [498] = 1;
Object [499] = 1;
Object [500] = 0;
Object [501] = 0;
Object [502] = 1;
Object [503] = 1;
Object [504] = 0;
Object [505] = 1;
Object [506] = 0;
Object [507] = 1;
Object [508] = 1;
Object [509] = 1;
Object [510] = 1;
Object [511] = 0;
Object [512] = 1;
Object [513] = 1;
Object [514] = 1;
Object [515] = 0;
Object [516] = 1;
Object [517] = 0;
Object [518] = 1;
Object [519] = 0;
Object [520] = 1;
Object [521] = 1;
Object [522] = 1;
Object [523] = 1;
Object [524] = 1;
Object [525] = 1;
Object [526] = 0;
Object [527] = 0;
Object [528] = 0;
Object [529] = 1;
Object [530] = 0;
Object [531] = 1;
Object [532] = 1;
Object [533] = 1;
Object [534] = 1;
Object [535] = 0;
Object [536] = 0;
Object [537] = 0;
Object [538] = 1;
Object [539] = 1;
Object [540] = 1;
Object [541] = 0;
Object [542] = 1;
Object [543] = 1;
Object [544] = 1;
Object [545] = 0;
Object [546] = 0;
Object [547] = 0;
Object [548] = 1;
Object [549] = 0;
Object [550] = 0;
Object [551] = 1;
Object [552] = 1;
Object [553] = 1;
Object [554] = 1;
Object [555] = 1;
Object [556] = 1;
Object [557] = 1;
Object [558] = 1;
Object [559] = 1;
Object [560] = 1;
Object [561] = 0;
Object [562] = 1;
Object [563] = 1;
Object [564] = 1;
Object [565] = 1;
Object [566] = 1;
Object [567] = 0;
Object [568] = 0;
Object [569] = 1;
Object [570] = 0;
Object [571] = 0;
Object [572] = 0;
Object [573] = 1;
Object [574] = 1;
Object [575] = 1;
Object [576] = 1;
Object [577] = 1;
Object [578] = 0;
Object [579] = 0;
Object [580] = 1;
Object [581] = 0;
Object [582] = 1;
Object [583] = 1;
Object [584] = 1;
Object [585] = 1;
Object [586] = 1;
Object [587] = 1;
Object [588] = 0;
Object [589] = 0;
Object [590] = 1;
Object [591] = 1;
Object [592] = 0;
Object [593] = 0;
Object [594] = 0;
Object [595] = 1;
Object [596] = 1;
Object [597] = 1;
Object [598] = 1;
Object [599] = 1;
Object [600] = 1;
Object [601] = 1;
Object [602] = 1;
Object [603] = 1;
Object [604] = 1;
Object [605] = 1;
Object [606] = 0;
Object [607] = 0;
Object [608] = 1;
Object [609] = 1;
Object [610] = 1;
Object [611] = 1;
Object [612] = 1;
Object [613] = 1;
Object [614] = 1;
Object [615] = 0;
Object [616] = 0;
Object [617] = 1;
Object [618] = 1;
Object [619] = 0;
Object [620] = 0;
Object [621] = 1;
Object [622] = 0;
Object [623] = 1;
Object [624] = 1;
Object [625] = 1;
Object [626] = 1;
Object [627] = 0;
Object [628] = 1;
Object [629] = 1;
Object [630] = 1;
Object [631] = 0;
Object [632] = 1;
Object [633] = 0;
Object [634] = 0;
Object [635] = 0;
Object [636] = 1;
Object [637] = 0;
Object [638] = 1;
Object [639] = 1;
Object [640] = 1;
Object [641] = 1;
Object [642] = 1;
Object [643] = 0;
Object [644] = 1;
Object [645] = 0;
Object [646] = 1;
Object [647] = 1;
Object [648] = 0;
Object [649] = 1;
Object [650] = 0;
Object [651] = 1;
Object [652] = 0;
Object [653] = 1;
Object [654] = 1;
Object [655] = 1;
Object [656] = 1;
Object [657] = 1;
Object [658] = 0;
Object [659] = 0;
Object [660] = 1;
Object [661] = 0;
Object [662] = 0;
Object [663] = 1;
Object [664] = 1;
Object [665] = 1;
Object [666] = 0;
Object [667] = 0;
Object [668] = 1;
Object [669] = 0;
Object [670] = 1;
Object [671] = 1;
Object [672] = 1;
Object [673] = 1;
Object [674] = 1;
Object [675] = 1;
Object [676] = 1;
Object [677] = 0;
Object [678] = 1;
Object [679] = 1;
Object [680] = 1;
Object [681] = 0;
Object [682] = 1;
Object [683] = 1;
Object [684] = 0;
Object [685] = 1;
Object [686] = 1;
Object [687] = 1;
Object [688] = 0;
Object [689] = 1;
Object [690] = 1;
Object [691] = 0;
Object [692] = 1;
Object [693] = 0;
Object [694] = 0;
Object [695] = 1;
Object [696] = 1;
Object [697] = 1;
Object [698] = 1;
Object [699] = 1;
Object [700] = 1;
Object [701] = 0;
Object [702] = 1;
Object [703] = 1;
Object [704] = 1;
Object [705] = 0;
Object [706] = 1;
Object [707] = 0;
Object [708] = 1;
Object [709] = 1;
Object [710] = 1;
Object [711] = 1;
Object [712] = 1;
Object [713] = 1;
Object [714] = 1;
Object [715] = 1;
Object [716] = 0;
Object [717] = 1;
Object [718] = 1;
Object [719] = 1;
Object [720] = 1;
Object [721] = 1;
Object [722] = 1;
Object [723] = 1;
Object [724] = 1;
Object [725] = 1;
Object [726] = 1;
Object [727] = 1;
Object [728] = 0;
Object [729] = 1;
Object [730] = 0;
Object [731] = 1;
Object [732] = 1;
Object [733] = 1;
Object [734] = 1;
Object [735] = 1;
Object [736] = 1;
Object [737] = 0;
Object [738] = 0;
Object [739] = 0;
Object [740] = 1;
Object [741] = 0;
Object [742] = 1;
Object [743] = 0;
Object [744] = 0;
Object [745] = 1;
Object [746] = 1;
Object [747] = 1;
Object [748] = 0;
Object [749] = 1;
Object [750] = 1;
Object [751] = 0;
Object [752] = 1;
Object [753] = 1;
Object [754] = 1;
Object [755] = 1;
Object [756] = 1;
Object [757] = 1;
Object [758] = 1;
Object [759] = 0;
Object [760] = 1;
Object [761] = 1;
Object [762] = 1;
Object [763] = 1;
Object [764] = 1;
Object [765] = 1;
Object [766] = 1;
Object [767] = 1;
Object [768] = 0;
Object [769] = 1;
Object [770] = 0;
Object [771] = 1;
Object [772] = 1;
Object [773] = 0;
Object [774] = 1;
Object [775] = 1;
Object [776] = 1;
Object [777] = 0;
Object [778] = 1;
Object [779] = 0;
Object [780] = 1;
Object [781] = 1;
Object [782] = 1;
Object [783] = 0;
Object [784] = 0;
Object [785] = 0;
Object [786] = 0;
Object [787] = 1;
Object [788] = 1;
Object [789] = 1;
Object [790] = 1;
Object [791] = 1;
Object [792] = 0;
Object [793] = 1;
Object [794] = 1;
Object [795] = 1;
Object [796] = 1;
Object [797] = 1;
Object [798] = 1;
Object [799] = 0;
Object [800] = 1;
Object [801] = 1;
Object [802] = 1;
Object [803] = 0;
Object [804] = 1;
Object [805] = 0;
Object [806] = 1;
Object [807] = 0;
Object [808] = 1;
Object [809] = 1;
Object [810] = 1;
Object [811] = 1;
Object [812] = 1;
Object [813] = 0;
Object [814] = 0;
Object [815] = 0;
Object [816] = 1;
Object [817] = 1;
Object [818] = 1;
Object [819] = 1;
Object [820] = 1;
Object [821] = 1;
Object [822] = 0;
Object [823] = 0;
Object [824] = 0;
Object [825] = 1;
Object [826] = 1;
Object [827] = 0;
Object [828] = 1;
Object [829] = 1;
Object [830] = 1;
Object [831] = 1;
Object [832] = 1;
Object [833] = 1;
Object [834] = 1;
Object [835] = 1;
Object [836] = 1;
Object [837] = 1;
Object [838] = 1;
Object [839] = 1;
Object [840] = 1;
Object [841] = 0;
Object [842] = 1;
Object [843] = 0;
Object [844] = 0;
Object [845] = 1;
Object [846] = 0;
Object [847] = 1;
Object [848] = 1;
Object [849] = 1;
Object [850] = 1;
Object [851] = 1;
Object [852] = 0;
Object [853] = 0;
Object [854] = 1;
Object [855] = 0;
Object [856] = 0;
Object [857] = 1;
Object [858] = 0;
Object [859] = 1;
Object [860] = 0;
Object [861] = 0;
Object [862] = 1;
Object [863] = 1;
Object [864] = 0;
Object [865] = 1;
Object [866] = 1;
Object [867] = 0;
Object [868] = 0;
Object [869] = 1;
Object [870] = 1;
Object [871] = 1;
Object [872] = 1;
Object [873] = 1;
Object [874] = 0;
Object [875] = 0;
Object [876] = 0;
Object [877] = 1;
Object [878] = 1;
Object [879] = 1;
Object [880] = 1;
Object [881] = 1;
Object [882] = 1;
Object [883] = 1;
Object [884] = 1;
Object [885] = 1;
Object [886] = 1;
Object [887] = 1;
Object [888] = 1;
Object [889] = 0;
Object [890] = 0;
Object [891] = 1;
Object [892] = 0;
Object [893] = 0;
Object [894] = 1;
Object [895] = 0;
Object [896] = 1;
Object [897] = 0;
Object [898] = 1;
Object [899] = 1;
Object [900] = 1;
Object [901] = 1;
Object [902] = 1;
Object [903] = 1;
Object [904] = 1;
Object [905] = 1;
Object [906] = 0;
Object [907] = 0;
Object [908] = 1;
Object [909] = 0;
Object [910] = 1;
Object [911] = 1;
Object [912] = 0;
Object [913] = 1;
Object [914] = 1;
Object [915] = 1;
Object [916] = 1;
Object [917] = 1;
Object [918] = 0;
Object [919] = 0;
Object [920] = 1;
Object [921] = 1;
Object [922] = 1;
Object [923] = 0;
Object [924] = 1;
Object [925] = 1;
Object [926] = 1;
Object [927] = 0;
Object [928] = 1;
Object [929] = 1;
Object [930] = 1;
Object [931] = 1;
Object [932] = 1;
Object [933] = 1;
Object [934] = 0;
Object [935] = 0;
Object [936] = 1;
Object [937] = 0;
Object [938] = 0;
Object [939] = 0;
Object [940] = 1;
Object [941] = 1;
Object [942] = 1;
Object [943] = 1;
Object [944] = 1;
Object [945] = 0;
Object [946] = 0;
Object [947] = 1;
Object [948] = 0;
Object [949] = 0;
Object [950] = 1;
Object [951] = 1;
Object [952] = 1;
Object [953] = 1;
Object [954] = 1;
Object [955] = 1;
Object [956] = 1;
Object [957] = 1;
Object [958] = 0;
Object [959] = 1;
Object [960] = 0;
Object [961] = 1;
Object [962] = 1;
Object [963] = 0;
Object [964] = 0;
Object [965] = 0;
Object [966] = 0;
Object [967] = 0;
Object [968] = 0;
Object [969] = 1;
Object [970] = 0;
Object [971] = 1;
Object [972] = 0;
Object [973] = 1;
Object [974] = 1;
Object [975] = 1;
Object [976] = 1;
Object [977] = 0;
Object [978] = 1;
Object [979] = 1;
Object [980] = 1;
Object [981] = 1;
Object [982] = 1;
Object [983] = 0;
Object [984] = 1;
Object [985] = 1;
Object [986] = 1;
Object [987] = 1;
Object [988] = 1;
Object [989] = 1;
Object [990] = 1;
Object [991] = 1;
Object [992] = 0;
Object [993] = 1;
Object [994] = 0;
Object [995] = 1;
Object [996] = 1;
Object [997] = 1;
Object [998] = 1;
Object [999] = 1;
Object [1000] = 1;
Object [1001] = 1;
Object [1002] = 1;
Object [1003] = 1;
Object [1004] = 1;
Object [1005] = 1;
Object [1006] = 1;
Object [1007] = 1;
Object [1008] = 1;
Object [1009] = 1;
Object [1010] = 1;
Object [1011] = 1;
Object [1012] = 1;
Object [1013] = 1;
Object [1014] = 1;
Object [1015] = 1;
Object [1016] = 1;
Object [1017] = 0;
Object [1018] = 1;
Object [1019] = 0;
Object [1020] = 0;
Object [1021] = 1;
Object [1022] = 1;
Object [1023] = 1;
Object [1024] = 0;
Object [1025] = 1;
Object [1026] = 1;
Object [1027] = 1;
Object [1028] = 1;
Object [1029] = 1;
Object [1030] = 1;
Object [1031] = 1;
Object [1032] = 1;
Object [1033] = 1;
Object [1034] = 0;
Object [1035] = 1;
Object [1036] = 1;
Object [1037] = 0;
Object [1038] = 1;
Object [1039] = 0;
Object [1040] = 1;
Object [1041] = 1;
Object [1042] = 0;
Object [1043] = 0;
Object [1044] = 0;
Object [1045] = 0;
Object [1046] = 1;
Object [1047] = 1;
Object [1048] = 1;
Object [1049] = 1;
Object [1050] = 0;
Object [1051] = 0;
Object [1052] = 0;
Object [1053] = 1;
Object [1054] = 1;
Object [1055] = 0;
Object [1056] = 1;
Object [1057] = 0;
Object [1058] = 1;
Object [1059] = 0;
Object [1060] = 1;
Object [1061] = 0;
Object [1062] = 1;
Object [1063] = 0;
Object [1064] = 0;
Object [1065] = 1;
Object [1066] = 1;
Object [1067] = 1;
Object [1068] = 1;
Object [1069] = 1;
Object [1070] = 1;
Object [1071] = 1;
Object [1072] = 1;
Object [1073] = 1;
Object [1074] = 1;
Object [1075] = 1;
Object [1076] = 1;
Object [1077] = 1;
Object [1078] = 0;
Object [1079] = 1;
Object [1080] = 1;
Object [1081] = 0;
Object [1082] = 1;
Object [1083] = 1;
Object [1084] = 1;
Object [1085] = 1;
Object [1086] = 1;
Object [1087] = 1;
Object [1088] = 1;
Object [1089] = 1;
Object [1090] = 0;
Object [1091] = 1;
Object [1092] = 1;
Object [1093] = 1;
Object [1094] = 1;
Object [1095] = 1;
Object [1096] = 0;
Object [1097] = 1;
Object [1098] = 1;
Object [1099] = 1;
Object [1100] = 0;
Object [1101] = 1;
Object [1102] = 0;
Object [1103] = 1;
Object [1104] = 1;
Object [1105] = 1;
Object [1106] = 1;
Object [1107] = 1;
Object [1108] = 1;
Object [1109] = 1;
Object [1110] = 0;
Object [1111] = 0;
Object [1112] = 1;
Object [1113] = 1;
Object [1114] = 1;
Object [1115] = 1;
Object [1116] = 1;
Object [1117] = 1;
Object [1118] = 1;
Object [1119] = 1;
Object [1120] = 1;
Object [1121] = 1;
Object [1122] = 1;
Object [1123] = 1;
Object [1124] = 1;
Object [1125] = 1;
Object [1126] = 0;
Object [1127] = 0;
Object [1128] = 1;
Object [1129] = 1;
Object [1130] = 1;
Object [1131] = 1;
Object [1132] = 1;
Object [1133] = 1;
Object [1134] = 0;
Object [1135] = 1;
Object [1136] = 0;
Object [1137] = 1;
Object [1138] = 0;
Object [1139] = 1;
Object [1140] = 1;
Object [1141] = 1;
Object [1142] = 1;
Object [1143] = 0;
Object [1144] = 1;
Object [1145] = 0;
Object [1146] = 0;
Object [1147] = 1;
Object [1148] = 1;
Object [1149] = 0;
Object [1150] = 1;
Object [1151] = 1;
Object [1152] = 1;
Object [1153] = 1;
Object [1154] = 1;
Object [1155] = 1;
Object [1156] = 1;
Object [1157] = 1;
Object [1158] = 0;
Object [1159] = 1;
Object [1160] = 1;
Object [1161] = 1;
Object [1162] = 1;
Object [1163] = 1;
Object [1164] = 1;
Object [1165] = 1;
Object [1166] = 1;
Object [1167] = 1;
Object [1168] = 1;
Object [1169] = 1;
Object [1170] = 1;
Object [1171] = 1;
Object [1172] = 1;
Object [1173] = 0;
Object [1174] = 0;
Object [1175] = 0;
Object [1176] = 0;
Object [1177] = 1;
Object [1178] = 0;
Object [1179] = 0;
Object [1180] = 1;
Object [1181] = 1;
Object [1182] = 1;
Object [1183] = 0;
Object [1184] = 0;
Object [1185] = 0;
Object [1186] = 1;
Object [1187] = 0;
Object [1188] = 1;
Object [1189] = 0;
Object [1190] = 1;
Object [1191] = 1;
Object [1192] = 1;
Object [1193] = 1;
Object [1194] = 1;
Object [1195] = 1;
Object [1196] = 1;
Object [1197] = 0;
Object [1198] = 0;
Object [1199] = 0;
Object [1200] = 1;
Object [1201] = 1;
Object [1202] = 1;
Object [1203] = 1;
Object [1204] = 1;
Object [1205] = 1;
Object [1206] = 1;
Object [1207] = 0;
Object [1208] = 1;
Object [1209] = 0;
Object [1210] = 1;
Object [1211] = 0;
Object [1212] = 1;
Object [1213] = 0;
Object [1214] = 1;
Object [1215] = 1;
Object [1216] = 1;
Object [1217] = 1;
Object [1218] = 1;
Object [1219] = 0;
Object [1220] = 0;
Object [1221] = 0;
Object [1222] = 0;
Object [1223] = 0;
Object [1224] = 1;
Object [1225] = 1;
Object [1226] = 1;
Object [1227] = 1;
Object [1228] = 1;
Object [1229] = 1;
Object [1230] = 1;
Object [1231] = 1;
Object [1232] = 1;
Object [1233] = 0;
Object [1234] = 0;
Object [1235] = 0;
Object [1236] = 1;
Object [1237] = 0;
Object [1238] = 1;
Object [1239] = 0;
Object [1240] = 1;
Object [1241] = 0;
Object [1242] = 0;
Object [1243] = 1;
Object [1244] = 1;
Object [1245] = 1;
Object [1246] = 0;
Object [1247] = 1;
Object [1248] = 1;
Object [1249] = 0;
Object [1250] = 1;
Object [1251] = 0;
Object [1252] = 1;
Object [1253] = 1;
Object [1254] = 1;
Object [1255] = 1;
Object [1256] = 0;
Object [1257] = 1;
Object [1258] = 1;
Object [1259] = 1;
Object [1260] = 1;
Object [1261] = 0;
Object [1262] = 1;
Object [1263] = 1;
Object [1264] = 1;
Object [1265] = 0;
Object [1266] = 1;
Object [1267] = 1;
Object [1268] = 1;
Object [1269] = 1;
Object [1270] = 1;
Object [1271] = 1;
Object [1272] = 1;
Object [1273] = 1;
Object [1274] = 0;
Object [1275] = 1;
Object [1276] = 1;
Object [1277] = 1;
Object [1278] = 1;
Object [1279] = 1;
Object [1280] = 1;
Object [1281] = 0;
Object [1282] = 1;
Object [1283] = 1;
Object [1284] = 1;
Object [1285] = 1;
Object [1286] = 0;
Object [1287] = 1;
Object [1288] = 1;
Object [1289] = 1;
Object [1290] = 1;
Object [1291] = 1;
Object [1292] = 0;
Object [1293] = 1;
Object [1294] = 0;
Object [1295] = 1;
Object [1296] = 1;
Object [1297] = 1;
Object [1298] = 1;
Object [1299] = 1;
Object [1300] = 1;
Object [1301] = 1;
Object [1302] = 1;
Object [1303] = 1;
Object [1304] = 1;
Object [1305] = 1;
Object [1306] = 1;
Object [1307] = 1;
Object [1308] = 0;
Object [1309] = 1;
Object [1310] = 1;
Object [1311] = 1;
Object [1312] = 0;
Object [1313] = 1;
Object [1314] = 1;
Object [1315] = 1;
Object [1316] = 0;
Object [1317] = 0;
Object [1318] = 1;
Object [1319] = 1;
Object [1320] = 1;
Object [1321] = 1;
Object [1322] = 1;
Object [1323] = 0;
Object [1324] = 1;
Object [1325] = 1;
Object [1326] = 0;
Object [1327] = 1;
Object [1328] = 1;
Object [1329] = 1;
Object [1330] = 0;
Object [1331] = 0;
Object [1332] = 0;
Object [1333] = 0;
Object [1334] = 0;
Object [1335] = 0;
Object [1336] = 0;
Object [1337] = 0;
Object [1338] = 1;
Object [1339] = 1;
Object [1340] = 0;
Object [1341] = 0;
Object [1342] = 0;
Object [1343] = 1;
Object [1344] = 1;
Object [1345] = 1;
Object [1346] = 1;
Object [1347] = 0;
Object [1348] = 0;
Object [1349] = 1;
Object [1350] = 1;
Object [1351] = 0;
Object [1352] = 1;
Object [1353] = 1;
Object [1354] = 1;
Object [1355] = 0;
Object [1356] = 1;
Object [1357] = 1;
Object [1358] = 1;
Object [1359] = 1;
Object [1360] = 1;
